time_s,adc_raw,voltage
0.0000,538,1.7355
0.0202,549,1.7710
0.0245,550,1.7742
0.0290,550,1.7742
0.0333,549,1.7710
0.0376,551,1.7774
0.0420,550,1.7742
0.0463,551,1.7774
0.0507,548,1.7677
0.0550,545,1.7581
0.0594,543,1.7516
0.0638,543,1.7516
0.0682,540,1.7419
0.0725,538,1.7355
0.0769,534,1.7226
0.0813,531,1.7129
0.0857,527,1.7000
0.0900,523,1.6871
0.0943,519,1.6742
0.0985,516,1.6645
0.1027,513,1.6548
0.1069,509,1.6419
0.1111,505,1.6290
0.1153,501,1.6161
0.1195,499,1.6097
0.1237,499,1.6097
0.1279,499,1.6097
0.1321,499,1.6097
0.1362,501,1.6161
0.1404,501,1.6161
0.1446,502,1.6194
0.1489,501,1.6161
0.1531,500,1.6129
0.1572,502,1.6194
0.1615,502,1.6194
0.1657,503,1.6226
0.1698,504,1.6258
0.1741,504,1.6258
0.1787,504,1.6258
0.1833,503,1.6226
0.1880,504,1.6258
0.1925,504,1.6258
0.1971,505,1.6290
0.2015,506,1.6323
0.2061,505,1.6290
0.2107,506,1.6323
0.2155,505,1.6290
0.2201,505,1.6290
0.2247,506,1.6323
0.2294,507,1.6355
0.2337,506,1.6323
0.2381,506,1.6323
0.2424,506,1.6323
0.2466,507,1.6355
0.2508,507,1.6355
0.2556,505,1.6290
0.2599,508,1.6387
0.2641,508,1.6387
0.2683,508,1.6387
0.2725,509,1.6419
0.2767,509,1.6419
0.2808,509,1.6419
0.2850,510,1.6452
0.2892,510,1.6452
0.2934,510,1.6452
0.2976,510,1.6452
0.3017,510,1.6452
0.3059,512,1.6516
0.3101,512,1.6516
0.3143,510,1.6452
0.3185,512,1.6516
0.3226,511,1.6484
0.3268,512,1.6516
0.3310,512,1.6516
0.3352,512,1.6516
0.3394,512,1.6516
0.3436,512,1.6516
0.3478,512,1.6516
0.3520,513,1.6548
0.3562,512,1.6516
0.3603,513,1.6548
0.3645,514,1.6581
0.3687,513,1.6548
0.3729,513,1.6548
0.3770,514,1.6581
0.3812,514,1.6581
0.3854,514,1.6581
0.3896,514,1.6581
0.3938,515,1.6613
0.3979,515,1.6613
0.4021,515,1.6613
0.4063,515,1.6613
0.4105,515,1.6613
0.4146,515,1.6613
0.4188,515,1.6613
0.4230,516,1.6645
0.4272,517,1.6677
0.4314,516,1.6645
0.4355,515,1.6613
0.4397,515,1.6613
0.4439,515,1.6613
0.4481,516,1.6645
0.4523,516,1.6645
0.4564,517,1.6677
0.4606,517,1.6677
0.4648,518,1.6710
0.4690,518,1.6710
0.4732,518,1.6710
0.4773,517,1.6677
0.4815,516,1.6645
0.4857,517,1.6677
0.4901,516,1.6645
0.4944,517,1.6677
0.4986,517,1.6677
0.5029,519,1.6742
0.5070,517,1.6677
0.5112,518,1.6710
0.5154,518,1.6710
0.5195,517,1.6677
0.5237,517,1.6677
0.5278,516,1.6645
0.5320,516,1.6645
0.5362,516,1.6645
0.5404,518,1.6710
0.5445,518,1.6710
0.5487,519,1.6742
0.5530,517,1.6677
0.5571,517,1.6677
0.5613,518,1.6710
0.5658,517,1.6677
0.5700,516,1.6645
0.5742,517,1.6677
0.5783,518,1.6710
0.5825,518,1.6710
0.5867,518,1.6710
0.5909,518,1.6710
