time_s,adc_raw,voltage
0.0000,502,1.6194
0.0045,501,1.6161
0.0159,504,1.6258
0.0282,504,1.6258
0.0326,504,1.6258
0.0370,504,1.6258
0.0414,504,1.6258
0.0460,505,1.6290
0.0506,505,1.6290
0.0551,507,1.6355
0.0595,511,1.6484
0.0639,517,1.6677
0.0684,525,1.6935
0.0728,532,1.7161
0.0772,538,1.7355
0.0816,544,1.7548
0.0860,548,1.7677
0.0905,550,1.7742
0.0949,550,1.7742
0.0993,548,1.7677
0.1037,544,1.7548
0.1081,540,1.7419
0.1126,534,1.7226
0.1172,529,1.7065
0.1217,521,1.6806
0.1261,512,1.6516
0.1305,506,1.6323
0.1349,501,1.6161
0.1393,499,1.6097
0.1437,500,1.6129
0.1481,500,1.6129
0.1525,501,1.6161
0.1568,502,1.6194
0.1612,502,1.6194
0.1656,503,1.6226
0.1700,504,1.6258
0.1744,504,1.6258
0.1788,504,1.6258
0.1831,506,1.6323
0.1875,505,1.6290
0.1919,504,1.6258
0.1963,503,1.6226
0.2007,505,1.6290
0.2051,505,1.6290
0.2095,503,1.6226
0.2140,495,1.5968
0.2185,479,1.5452
0.2359,589,1.9000
0.2560,766,2.4710
0.2608,667,2.1516
0.2665,545,1.7581
0.2761,452,1.4581
0.2808,450,1.4516
0.2852,460,1.4839
0.2895,474,1.5290
0.2939,482,1.5548
0.2982,485,1.5645
0.3025,486,1.5677
0.3069,485,1.5645
0.3113,485,1.5645
0.3157,485,1.5645
0.3200,485,1.5645
0.3243,486,1.5677
0.3286,486,1.5677
0.3330,488,1.5742
0.3373,488,1.5742
0.3417,491,1.5839
0.3460,491,1.5839
0.3504,491,1.5839
0.3547,492,1.5871
0.3591,493,1.5903
0.3634,493,1.5903
0.3677,494,1.5935
0.3721,493,1.5903
0.3764,496,1.6000
0.3808,496,1.6000
0.3851,495,1.5968
0.3895,496,1.6000
0.3938,496,1.6000
0.3982,497,1.6032
0.4025,499,1.6097
0.4068,499,1.6097
0.4112,501,1.6161
0.4155,508,1.6387
0.4199,515,1.6613
0.4242,520,1.6774
0.4285,528,1.7032
0.4329,534,1.7226
0.4372,540,1.7419
0.4415,547,1.7645
0.4459,553,1.7839
0.4502,558,1.8000
0.4545,563,1.8161
0.4589,568,1.8323
0.4632,572,1.8452
0.4676,573,1.8484
0.4720,577,1.8613
0.4763,578,1.8645
0.4807,579,1.8677
0.4850,578,1.8645
0.4894,576,1.8581
0.4937,575,1.8548
0.4980,573,1.8484
0.5024,570,1.8387
0.5067,566,1.8258
0.5111,560,1.8065
0.5154,553,1.7839
0.5197,549,1.7710
0.5241,541,1.7452
0.5284,536,1.7290
0.5327,530,1.7097
0.5371,522,1.6839
0.5415,516,1.6645
0.5459,510,1.6452
0.5502,500,1.6129
0.5545,493,1.5903
0.5588,489,1.5774
0.5632,483,1.5581
0.5675,478,1.5419
0.5719,477,1.5387
0.5762,476,1.5355
0.5806,478,1.5419
0.5850,479,1.5452
0.5893,481,1.5516
0.5937,482,1.5548
0.5980,482,1.5548
0.6024,483,1.5581
0.6067,483,1.5581
0.6111,484,1.5613
0.6154,484,1.5613
0.6198,485,1.5645
0.6242,485,1.5645
0.6285,485,1.5645
0.6328,486,1.5677
0.6372,488,1.5742
0.6415,488,1.5742
0.6459,488,1.5742
0.6502,488,1.5742
0.6546,489,1.5774
0.6590,490,1.5806
0.6633,490,1.5806
0.6677,492,1.5871
0.6720,492,1.5871
0.6763,492,1.5871
0.6807,492,1.5871
0.6851,492,1.5871
0.6894,493,1.5903
0.6938,494,1.5935
0.6982,495,1.5968
0.7026,495,1.5968
0.7070,495,1.5968
0.7114,495,1.5968
0.7157,497,1.6032
0.7201,498,1.6065
0.7244,499,1.6097
0.7288,499,1.6097
0.7331,499,1.6097
0.7374,499,1.6097
0.7418,499,1.6097
0.7461,499,1.6097
0.7505,499,1.6097
0.7548,500,1.6129
0.7592,499,1.6097
0.7635,500,1.6129
0.7678,500,1.6129
