time_s,adc_raw,voltage
0.0000,545,1.7581
0.0044,563,1.8161
0.0087,536,1.7290
0.0130,527,1.7000
0.0173,558,1.8000
0.0216,589,1.9000
0.0260,588,1.8968
0.0303,557,1.7968
0.0346,556,1.7935
0.0391,598,1.9290
0.0437,621,2.0032
0.0480,598,1.9290
0.0524,578,1.8645
0.0567,594,1.9161
0.0611,630,2.0323
0.0654,630,2.0323
0.0698,594,1.9161
0.0742,577,1.8613
0.0786,603,1.9452
0.0829,615,1.9839
0.0872,588,1.8968
0.0914,549,1.7710
0.0956,543,1.7516
0.0998,561,1.8097
0.1040,558,1.8000
0.1082,516,1.6645
0.1124,481,1.5516
0.1166,485,1.5645
0.1207,509,1.6419
0.1249,509,1.6419
0.1291,472,1.5226
0.1332,453,1.4613
0.1375,474,1.5290
0.1416,501,1.6161
0.1458,495,1.5968
0.1500,454,1.4645
0.1542,444,1.4323
0.1584,475,1.5323
0.1626,500,1.6129
0.1669,492,1.5871
0.1713,464,1.4968
0.1760,467,1.5065
0.1807,502,1.6194
0.1851,507,1.6355
0.1896,472,1.5226
0.1941,468,1.5097
0.1988,507,1.6355
0.2035,527,1.7000
0.2082,501,1.6161
0.2128,477,1.5387
0.2174,499,1.6097
0.2218,524,1.6903
0.2261,521,1.6806
0.2304,489,1.5774
0.2346,479,1.5452
0.2389,512,1.6516
0.2431,529,1.7065
0.2473,508,1.6387
0.2515,480,1.5484
0.2557,482,1.5548
0.2598,519,1.6742
0.2640,533,1.7194
0.2682,506,1.6323
0.2724,477,1.5387
0.2765,485,1.5645
0.2807,515,1.6613
0.2849,523,1.6871
0.2891,492,1.5871
0.2933,474,1.5290
0.2974,492,1.5871
0.3016,521,1.6806
0.3058,522,1.6839
0.3100,489,1.5774
0.3142,476,1.5355
0.3184,503,1.6226
0.3226,519,1.6742
0.3268,509,1.6419
0.3311,476,1.5355
0.3353,474,1.5290
0.3395,510,1.6452
0.3437,526,1.6968
0.3479,498,1.6065
0.3521,475,1.5323
0.3563,485,1.5645
0.3604,519,1.6742
0.3646,526,1.6968
0.3688,494,1.5935
0.3730,476,1.5355
0.3772,494,1.5935
0.3813,526,1.6968
0.3855,528,1.7032
0.3897,492,1.5871
0.3939,475,1.5323
0.3981,500,1.6129
0.4023,521,1.6806
0.4065,518,1.6710
0.4107,487,1.5710
0.4148,483,1.5581
0.4190,514,1.6581
0.4232,530,1.7097
0.4274,512,1.6516
0.4316,487,1.5710
0.4357,493,1.5903
0.4399,531,1.7129
0.4441,543,1.7516
