time_s,adc_raw,voltage
0.0000,480,1.5484
0.0044,511,1.6484
0.0088,545,1.7581
0.0131,539,1.7387
0.0175,521,1.6806
0.0219,544,1.7548
0.0294,584,1.8839
0.0361,517,1.6677
0.0405,498,1.6065
0.0449,537,1.7323
0.0492,563,1.8161
0.0640,522,1.6839
0.0683,555,1.7903
0.0727,535,1.7258
0.0770,484,1.5613
0.0813,480,1.5484
0.0855,523,1.6871
0.0898,546,1.7613
0.0939,518,1.6710
0.0981,482,1.5548
0.1023,490,1.5806
0.1065,528,1.7032
0.1108,536,1.7290
0.1149,504,1.6258
0.1191,483,1.5581
0.1233,492,1.5871
0.1275,490,1.5806
0.1317,445,1.4355
0.1358,382,1.2323
0.1400,361,1.1645
0.1442,439,1.4161
0.1485,620,2.0000
0.1530,817,2.6355
0.1575,998,3.2194
0.1618,1003,3.2355
0.1660,1003,3.2355
0.1702,1004,3.2387
0.1746,1003,3.2355
0.1793,940,3.0323
0.1837,715,2.3065
0.1889,553,1.7839
0.1935,466,1.5032
0.1994,417,1.3452
0.2041,452,1.4581
0.2088,485,1.5645
0.2134,459,1.4806
0.2177,420,1.3548
0.2220,433,1.3968
0.2264,476,1.5355
0.2313,481,1.5516
0.2357,440,1.4194
0.2400,431,1.3903
0.2442,457,1.4742
0.2484,482,1.5548
0.2526,463,1.4935
0.2568,427,1.3774
0.2609,429,1.3839
0.2651,473,1.5258
0.2693,498,1.6065
0.2734,471,1.5194
0.2776,434,1.4000
0.2818,444,1.4323
0.2860,488,1.5742
0.2901,508,1.6387
0.2943,484,1.5613
0.2985,458,1.4774
0.3027,476,1.5355
0.3068,513,1.6548
0.3110,515,1.6613
0.3152,482,1.5548
0.3194,468,1.5097
0.3235,502,1.6194
0.3277,540,1.7419
0.3319,534,1.7226
0.3360,497,1.6032
0.3402,490,1.5806
0.3444,527,1.7000
0.3485,563,1.8161
0.3527,554,1.7871
0.3569,524,1.6903
0.3612,530,1.7097
0.3654,576,1.8581
0.3696,603,1.9452
0.3738,583,1.8806
0.3780,556,1.7935
0.3822,569,1.8355
0.3863,609,1.9645
0.3905,623,2.0097
0.3947,588,1.8968
0.3989,564,1.8194
0.4030,583,1.8806
0.4072,612,1.9742
0.4114,598,1.9290
0.4156,546,1.7613
0.4198,521,1.6806
0.4239,539,1.7387
0.4281,563,1.8161
0.4322,543,1.7516
0.4364,496,1.6000
0.4406,479,1.5452
0.4448,502,1.6194
0.4491,513,1.6548
0.4534,482,1.5548
0.4576,445,1.4355
0.4618,450,1.4516
0.4660,485,1.5645
0.4701,492,1.5871
0.4743,458,1.4774
0.4785,433,1.3968
0.4826,454,1.4645
0.4868,489,1.5774
0.4910,485,1.5645
0.4951,447,1.4419
0.4993,432,1.3935
0.5035,463,1.4935
0.5077,498,1.6065
0.5118,487,1.5710
0.5162,446,1.4387
0.5204,440,1.4194
0.5246,480,1.5484
0.5288,509,1.6419
0.5329,489,1.5774
0.5371,453,1.4613
0.5413,457,1.4742
0.5454,494,1.5935
0.5496,507,1.6355
0.5538,480,1.5484
0.5580,452,1.4581
0.5622,467,1.5065
0.5663,509,1.6419
0.5705,516,1.6645
0.5746,478,1.5419
0.5788,449,1.4484
0.5830,472,1.5226
0.5872,511,1.6484
0.5913,508,1.6387
0.5955,468,1.5097
0.5997,455,1.4677
0.6038,490,1.5806
0.6080,527,1.7000
0.6122,514,1.6581
0.6163,472,1.5226
0.6205,465,1.5000
0.6247,500,1.6129
0.6289,521,1.6806
0.6330,496,1.6000
0.6372,463,1.4935
0.6414,469,1.5129
0.6456,508,1.6387
0.6497,525,1.6935
0.6539,498,1.6065
0.6584,470,1.5161
0.6626,484,1.5613
0.6668,516,1.6645
0.6709,518,1.6710
0.6751,484,1.5613
0.6793,466,1.5032
0.6834,494,1.5935
0.6876,528,1.7032
0.6918,517,1.6677
0.6959,476,1.5355
0.7001,464,1.4968
0.7043,500,1.6129
0.7085,527,1.7000
0.7126,510,1.6452
0.7168,479,1.5452
0.7210,481,1.5516
0.7251,515,1.6613
0.7293,530,1.7097
0.7335,504,1.6258
0.7376,479,1.5452
0.7418,495,1.5968
0.7460,534,1.7226
0.7502,542,1.7484
0.7543,507,1.6355
0.7585,484,1.5613
0.7627,512,1.6516
0.7669,560,1.8065
0.7711,579,1.8677
0.7752,554,1.7871
0.7794,534,1.7226
0.7835,552,1.7806
0.7877,573,1.8484
0.7919,552,1.7806
0.7961,508,1.6387
0.8003,503,1.6226
0.8044,535,1.7258
0.8086,551,1.7774
0.8128,522,1.6839
0.8170,484,1.5613
0.8211,487,1.5710
0.8253,523,1.6871
0.8295,534,1.7226
0.8336,503,1.6226
0.8378,471,1.5194
0.8420,488,1.5742
0.8462,526,1.6968
0.8504,530,1.7097
0.8546,496,1.6000
0.8589,477,1.5387
0.8632,503,1.6226
0.8675,531,1.7129
0.8717,511,1.6484
0.8760,458,1.4774
0.8803,424,1.3677
0.8845,428,1.3806
0.8888,423,1.3645
0.8930,397,1.2806
0.8973,427,1.3774
0.9019,616,1.9871
0.9062,842,2.7161
0.9105,1001,3.2290
0.9148,1004,3.2387
0.9190,1005,3.2419
0.9233,1003,3.2355
0.9276,997,3.2161
0.9319,878,2.8323
0.9361,629,2.0290
0.9404,487,1.5710
0.9446,469,1.5129
0.9490,478,1.5419
0.9535,450,1.4516
0.9578,423,1.3645
0.9620,437,1.4097
0.9663,473,1.5258
0.9706,468,1.5097
0.9748,428,1.3806
0.9791,415,1.3387
0.9835,449,1.4484
0.9878,480,1.5484
0.9920,466,1.5032
0.9963,430,1.3871
1.0006,433,1.3968
1.0048,476,1.5355
1.0091,493,1.5903
1.0134,462,1.4903
1.0177,436,1.4065
1.0219,458,1.4774
1.0262,501,1.6161
1.0305,508,1.6387
1.0348,473,1.5258
1.0390,458,1.4774
1.0433,490,1.5806
1.0477,521,1.6806
1.0521,501,1.6161
1.0565,463,1.4935
1.0609,472,1.5226
1.0654,520,1.6774
1.0698,531,1.7129
1.0741,495,1.5968
1.0783,473,1.5258
1.0826,503,1.6226
1.0868,546,1.7613
1.0912,547,1.7645
1.0954,514,1.6581
1.0997,511,1.6484
1.1039,550,1.7742
1.1082,577,1.8613
1.1125,558,1.8000
1.1168,530,1.7097
1.1211,547,1.7645
1.1253,592,1.9097
1.1296,607,1.9581
1.1339,572,1.8452
1.1382,548,1.7677
1.1425,572,1.8452
1.1471,612,1.9742
1.1514,604,1.9484
1.1557,557,1.7968
1.1600,543,1.7516
1.1642,571,1.8419
1.1685,584,1.8839
1.1728,544,1.7548
1.1771,498,1.6065
1.1814,495,1.5968
1.1856,526,1.6968
1.1899,526,1.6968
1.1942,484,1.5613
1.1985,459,1.4806
1.2027,482,1.5548
1.2070,510,1.6452
1.2113,495,1.5968
1.2156,453,1.4613
1.2199,446,1.4387
1.2241,482,1.5548
1.2286,507,1.6355
1.2329,481,1.5516
1.2372,447,1.4419
1.2414,459,1.4806
1.2457,496,1.6000
1.2500,498,1.6065
1.2543,460,1.4839
1.2586,442,1.4258
1.2629,471,1.5194
1.2672,508,1.6387
1.2715,498,1.6065
1.2758,458,1.4774
1.2800,455,1.4677
1.2843,493,1.5903
1.2886,513,1.6548
1.2928,486,1.5677
1.2971,454,1.4645
1.3014,470,1.5161
1.3057,512,1.6516
1.3103,517,1.6677
1.3146,480,1.5484
1.3189,463,1.4935
1.3232,498,1.6065
1.3275,528,1.7032
1.3317,506,1.6323
1.3360,464,1.4968
1.3403,467,1.5065
1.3446,511,1.6484
1.3490,529,1.7065
1.3533,494,1.5935
1.3577,467,1.5065
1.3620,487,1.5710
1.3663,521,1.6806
1.3706,518,1.6710
1.3748,478,1.5419
1.3791,467,1.5065
1.3834,504,1.6258
1.3877,533,1.7194
1.3921,512,1.6516
1.3964,476,1.5355
1.4007,484,1.5613
1.4049,524,1.6903
1.4092,532,1.7161
1.4135,497,1.6032
1.4178,470,1.5161
1.4221,493,1.5903
1.4264,530,1.7097
1.4306,526,1.6968
1.4349,486,1.5677
1.4392,473,1.5258
1.4435,506,1.6323
1.4477,534,1.7226
1.4520,514,1.6581
1.4563,476,1.5355
1.4606,480,1.5484
1.4649,520,1.6774
1.4692,532,1.7161
1.4736,496,1.6000
1.4779,473,1.5258
1.4822,499,1.6097
1.4865,537,1.7323
1.4908,531,1.7129
1.4950,491,1.5839
1.4993,479,1.5452
1.5036,515,1.6613
1.5079,542,1.7484
1.5122,521,1.6806
1.5165,485,1.5645
1.5208,490,1.5806
1.5251,528,1.7032
1.5293,538,1.7355
1.5336,505,1.6290
1.5379,477,1.5387
1.5422,499,1.6097
1.5464,534,1.7226
1.5507,528,1.7032
1.5552,486,1.5677
1.5595,483,1.5581
1.5638,526,1.6968
1.5681,551,1.7774
1.5724,527,1.7000
1.5767,494,1.5935
1.5810,512,1.6516
1.5852,563,1.8161
1.5895,588,1.8968
1.5938,560,1.8065
1.5981,532,1.7161
1.6024,552,1.7806
1.6066,580,1.8710
1.6109,563,1.8161
1.6152,521,1.6806
1.6195,515,1.6613
1.6238,546,1.7613
1.6281,555,1.7903
1.6323,519,1.6742
1.6367,480,1.5484
1.6410,494,1.5935
1.6453,539,1.7387
1.6496,548,1.7677
1.6539,505,1.6290
1.6582,476,1.5355
1.6625,497,1.6032
1.6667,529,1.7065
1.6710,520,1.6774
1.6753,482,1.5548
1.6795,478,1.5419
1.6838,515,1.6613
1.6881,533,1.7194
1.6923,496,1.6000
1.6966,433,1.3968
1.7009,403,1.3000
1.7052,413,1.3323
1.7095,404,1.3032
1.7137,396,1.2774
1.7180,499,1.6097
1.7222,732,2.3613
1.7265,995,3.2097
1.7308,1003,3.2355
1.7350,1005,3.2419
1.7393,1004,3.2387
1.7436,1004,3.2387
1.7478,1001,3.2290
1.7521,852,2.7484
1.7564,592,1.9097
1.7607,469,1.5129
1.7650,460,1.4839
1.7693,455,1.4677
1.7736,423,1.3645
1.7779,405,1.3065
1.7822,434,1.4000
1.7865,466,1.5032
1.7909,455,1.4677
1.7951,416,1.3419
1.7994,413,1.3323
1.8038,452,1.4581
1.8080,477,1.5387
1.8123,454,1.4645
1.8167,426,1.3742
1.8209,444,1.4323
1.8252,487,1.5710
1.8296,493,1.5903
1.8339,448,1.4452
1.8382,424,1.3677
1.8425,453,1.4613
1.8468,485,1.5645
1.8515,468,1.5097
1.8559,435,1.4032
1.8602,445,1.4355
1.8645,490,1.5806
1.8688,508,1.6387
1.8731,477,1.5387
1.8774,455,1.4677
1.8817,480,1.5484
1.8860,522,1.6839
1.8904,520,1.6774
1.8947,484,1.5613
1.8990,477,1.5387
1.9033,516,1.6645
1.9076,546,1.7613
1.9119,530,1.7097
1.9162,499,1.6097
1.9205,512,1.6516
1.9248,554,1.7871
1.9291,571,1.8419
1.9334,544,1.7548
1.9377,528,1.7032
1.9420,555,1.7903
1.9463,591,1.9065
1.9523,571,1.8419
1.9567,548,1.7677
1.9610,568,1.8323
1.9653,609,1.9645
1.9696,613,1.9774
1.9739,574,1.8516
1.9781,552,1.7806
1.9826,577,1.8613
1.9869,596,1.9226
1.9912,568,1.8323
1.9955,519,1.6742
1.9997,508,1.6387
2.0040,536,1.7290
2.0083,542,1.7484
2.0125,504,1.6258
2.0168,464,1.4968
2.0211,476,1.5355
2.0254,513,1.6548
2.0296,510,1.6452
2.0339,466,1.5032
2.0381,444,1.4323
2.0424,473,1.5258
2.0467,505,1.6290
2.0510,492,1.5871
2.0552,455,1.4677
2.0595,453,1.4613
2.0638,488,1.5742
2.0681,506,1.6323
2.0724,478,1.5419
2.0767,450,1.4516
2.0810,468,1.5097
2.0853,504,1.6258
2.0896,506,1.6323
2.0939,470,1.5161
2.0982,456,1.4710
2.1025,489,1.5774
2.1068,522,1.6839
2.1110,509,1.6419
2.1154,476,1.5355
2.1196,471,1.5194
2.1239,500,1.6129
2.1282,512,1.6516
2.1325,483,1.5581
2.1368,457,1.4742
2.1411,477,1.5387
2.1454,513,1.6548
2.1497,513,1.6548
2.1540,477,1.5387
2.1583,465,1.5000
2.1626,499,1.6097
2.1669,527,1.7000
2.1712,510,1.6452
2.1755,477,1.5387
2.1798,484,1.5613
2.1841,525,1.6935
2.1884,537,1.7323
2.1927,502,1.6194
2.1970,474,1.5290
2.2013,497,1.6032
2.2056,532,1.7161
2.2099,526,1.6968
2.2142,484,1.5613
2.2184,470,1.5161
2.2227,503,1.6226
2.2270,531,1.7129
2.2313,512,1.6516
2.2356,479,1.5452
2.2399,486,1.5677
2.2442,524,1.6903
2.2491,534,1.7226
2.2535,495,1.5968
2.2579,477,1.5387
2.2623,508,1.6387
2.2667,538,1.7355
2.2710,523,1.6871
2.2753,486,1.5677
2.2795,489,1.5774
2.2838,528,1.7032
2.2881,544,1.7548
2.2923,512,1.6516
2.2967,482,1.5548
2.3009,501,1.6161
2.3052,539,1.7387
2.3095,543,1.7516
2.3137,505,1.6290
2.3180,484,1.5613
2.3223,511,1.6484
2.3266,538,1.7355
2.3309,522,1.6839
2.3352,485,1.5645
2.3395,488,1.5742
2.3438,526,1.6968
2.3480,544,1.7548
2.3523,518,1.6710
2.3566,492,1.5871
2.3609,511,1.6484
2.3652,548,1.7677
2.3695,544,1.7548
2.3738,505,1.6290
2.3781,492,1.5871
2.3823,521,1.6806
2.3866,548,1.7677
2.3909,532,1.7161
2.3952,499,1.6097
2.3994,502,1.6194
2.4037,540,1.7419
2.4080,554,1.7871
2.4123,521,1.6806
2.4167,498,1.6065
2.4210,529,1.7065
2.4253,580,1.8710
2.4295,595,1.9194
2.4338,555,1.7903
2.4381,529,1.7065
2.4424,549,1.7710
2.4466,569,1.8355
2.4509,551,1.7774
2.4552,513,1.6548
2.4595,512,1.6516
2.4638,546,1.7613
2.4680,557,1.7968
2.4723,524,1.6903
2.4766,493,1.5903
2.4809,506,1.6323
2.4852,542,1.7484
2.4895,542,1.7484
2.4939,504,1.6258
2.4982,492,1.5871
2.5025,523,1.6871
2.5068,550,1.7742
2.5110,529,1.7065
2.5153,492,1.5871
2.5196,498,1.6065
2.5239,535,1.7258
2.5282,539,1.7387
2.5324,492,1.5871
2.5367,429,1.3839
2.5410,411,1.3258
2.5453,420,1.3548
2.5495,409,1.3194
2.5538,419,1.3516
2.5581,559,1.8032
2.5624,807,2.6032
2.5667,1001,3.2290
2.5710,1004,3.2387
2.5753,1004,3.2387
2.5796,1005,3.2419
2.5838,1003,3.2355
2.5881,996,3.2129
2.5923,800,2.5806
2.5966,566,1.8258
2.6009,479,1.5452
2.6051,478,1.5419
2.6094,466,1.5032
2.6136,431,1.3903
2.6179,418,1.3484
2.6221,450,1.4516
2.6264,478,1.5419
2.6307,459,1.4806
2.6350,419,1.3516
2.6393,422,1.3613
2.6436,463,1.4935
2.6479,479,1.5452
2.6522,447,1.4419
2.6565,420,1.3548
2.6608,444,1.4323
2.6652,484,1.5613
2.6695,484,1.5613
2.6738,447,1.4419
2.6782,437,1.4097
2.6825,471,1.5194
2.6868,497,1.6032
2.6912,477,1.5387
2.6955,448,1.4452
2.6998,460,1.4839
2.7042,504,1.6258
2.7085,515,1.6613
2.7128,479,1.5452
2.7171,458,1.4774
2.7215,487,1.5710
2.7258,523,1.6871
2.7302,518,1.6710
2.7345,486,1.5677
2.7389,489,1.5774
2.7432,530,1.7097
2.7475,548,1.7677
2.7518,522,1.6839
2.7561,499,1.6097
2.7604,524,1.6903
2.7648,572,1.8452
2.7691,577,1.8613
2.7734,543,1.7516
2.7776,535,1.7258
2.7819,574,1.8516
2.7862,609,1.9645
