time_s,adc_raw,voltage
0.0000,421,1.3581
0.0172,452,1.4581
0.0215,458,1.4774
0.0259,537,1.7323
0.0304,577,1.8613
0.0349,537,1.7323
0.0393,485,1.5645
0.0437,511,1.6484
0.0482,575,1.8548
0.0526,552,1.7806
0.0570,483,1.5581
0.0614,470,1.5161
0.0657,520,1.6774
0.0701,530,1.7097
0.0745,468,1.5097
0.0788,419,1.3516
0.0831,449,1.4484
0.0875,514,1.6581
0.0918,525,1.6935
0.0962,502,1.6194
0.1006,503,1.6226
0.1049,544,1.7548
0.1092,548,1.7677
0.1135,508,1.6387
0.1178,475,1.5323
0.1220,511,1.6484
0.1264,580,1.8710
0.1307,595,1.9194
0.1351,542,1.7484
0.1394,511,1.6484
0.1437,551,1.7774
0.1480,612,1.9742
0.1524,590,1.9032
0.1569,495,1.5968
0.1614,470,1.5161
0.1659,572,1.8452
0.1705,640,2.0645
0.1748,590,1.9032
0.1791,547,1.7645
0.1834,559,1.8032
0.1879,598,1.9290
0.1924,595,1.9194
0.1970,563,1.8161
0.2016,559,1.8032
0.2063,603,1.9452
0.2109,601,1.9387
0.2156,541,1.7452
0.2202,518,1.6710
0.2248,585,1.8871
0.2291,640,2.0645
0.2334,606,1.9548
0.2377,544,1.7548
0.2420,531,1.7129
0.2463,571,1.8419
0.2507,589,1.9000
0.2550,566,1.8258
0.2592,577,1.8613
0.2634,694,2.2387
0.2676,847,2.7323
0.2718,905,2.9194
0.2761,832,2.6839
0.2803,708,2.2839
0.2846,674,2.1742
0.2888,681,2.1968
0.2930,635,2.0484
0.2972,570,1.8387
0.3015,586,1.8903
0.3058,668,2.1548
0.3101,664,2.1419
0.3144,571,1.8419
0.3187,493,1.5903
0.3230,482,1.5548
0.3273,515,1.6613
0.3316,536,1.7290
0.3359,508,1.6387
0.3402,491,1.5839
0.3445,535,1.7258
0.3488,572,1.8452
0.3531,553,1.7839
0.3574,515,1.6613
0.3617,526,1.6968
0.3661,558,1.8000
0.3704,569,1.8355
0.3748,524,1.6903
0.3792,481,1.5516
0.3835,503,1.6226
0.3878,555,1.7903
0.3921,544,1.7548
0.3964,487,1.5710
0.4006,450,1.4516
0.4049,471,1.5194
0.4092,522,1.6839
0.4134,513,1.6548
0.4177,481,1.5516
0.4220,511,1.6484
0.4263,569,1.8355
0.4306,579,1.8677
0.4348,540,1.7419
0.4390,498,1.6065
0.4433,518,1.6710
0.4475,567,1.8290
0.4518,550,1.7742
0.4561,495,1.5968
0.4603,481,1.5516
0.4646,503,1.6226
0.4688,530,1.7097
0.4730,508,1.6387
0.4773,467,1.5065
0.4815,479,1.5452
0.4858,538,1.7355
0.4901,581,1.8742
0.4944,541,1.7452
0.4987,493,1.5903
0.5030,519,1.6742
0.5072,584,1.8839
0.5115,613,1.9774
0.5157,582,1.8774
0.5200,548,1.7677
0.5243,572,1.8452
0.5286,581,1.8742
0.5328,540,1.7419
0.5370,488,1.5742
0.5413,499,1.6097
0.5455,550,1.7742
0.5500,574,1.8516
0.5543,522,1.6839
0.5585,456,1.4710
0.5628,434,1.4000
0.5671,455,1.4677
0.5713,473,1.5258
0.5757,428,1.3806
0.5800,391,1.2613
0.5843,434,1.4000
0.5886,499,1.6097
0.5928,488,1.5742
0.5971,432,1.3935
0.6014,427,1.3774
0.6057,492,1.5871
0.6100,547,1.7645
0.6143,508,1.6387
0.6186,438,1.4129
0.6229,457,1.4742
0.6271,524,1.6903
0.6313,546,1.7613
0.6355,505,1.6290
0.6398,486,1.5677
0.6440,537,1.7323
0.6483,569,1.8355
0.6526,532,1.7161
0.6568,481,1.5516
0.6610,475,1.5323
0.6652,550,1.7742
0.6695,589,1.9000
0.6737,554,1.7871
0.6779,508,1.6387
0.6821,540,1.7419
0.6864,609,1.9645
0.6907,634,2.0452
0.6950,572,1.8452
0.6993,497,1.6032
0.7036,508,1.6387
0.7078,546,1.7613
0.7121,539,1.7387
0.7163,499,1.6097
0.7204,459,1.4806
0.7246,493,1.5903
0.7288,533,1.7194
0.7330,531,1.7129
0.7372,490,1.5806
0.7414,478,1.5419
0.7456,512,1.6516
0.7498,532,1.7161
0.7540,487,1.5710
0.7582,444,1.4323
0.7624,470,1.5161
0.7666,518,1.6710
0.7709,519,1.6742
0.7752,482,1.5548
0.7795,494,1.5935
0.7837,550,1.7742
0.7880,585,1.8871
0.7923,551,1.7774
0.7965,489,1.5774
0.8008,481,1.5516
0.8050,532,1.7161
0.8093,562,1.8129
0.8135,526,1.6968
0.8177,472,1.5226
0.8219,481,1.5516
0.8263,535,1.7258
0.8306,552,1.7806
0.8349,519,1.6742
0.8393,463,1.4935
0.8437,471,1.5194
0.8480,516,1.6645
0.8523,512,1.6516
0.8568,472,1.5226
0.8612,473,1.5258
0.8657,515,1.6613
0.8701,532,1.7161
0.8745,454,1.4645
0.8789,421,1.3581
0.8832,496,1.6000
