time_s,adc_raw,voltage
0.0000,1007,3.2484
0.0046,1005,3.2419
0.0090,1006,3.2452
0.0206,1006,3.2452
0.0251,1005,3.2419
0.0296,1005,3.2419
0.0342,1006,3.2452
0.0387,1006,3.2452
0.0433,1007,3.2484
0.0479,1006,3.2452
0.0525,1005,3.2419
0.0571,1006,3.2452
0.0616,1006,3.2452
0.0661,1005,3.2419
0.0707,1005,3.2419
0.0752,1007,3.2484
0.0798,1007,3.2484
0.0843,1006,3.2452
0.0888,1006,3.2452
0.0934,1005,3.2419
0.0979,1005,3.2419
0.1025,1006,3.2452
0.1070,1006,3.2452
0.1116,1005,3.2419
0.1161,1007,3.2484
0.1206,1006,3.2452
0.1252,1007,3.2484
0.1297,1005,3.2419
0.1343,1005,3.2419
0.1388,1007,3.2484
0.1434,1007,3.2484
0.1479,1006,3.2452
0.1524,1006,3.2452
0.1570,1003,3.2355
0.1616,1006,3.2452
0.1661,1006,3.2452
0.1707,1006,3.2452
0.1752,1005,3.2419
0.1798,1005,3.2419
0.1843,1007,3.2484
0.1887,1006,3.2452
0.1932,1006,3.2452
0.1977,1007,3.2484
0.2022,1007,3.2484
0.2066,1006,3.2452
0.2111,1006,3.2452
0.2155,1005,3.2419
0.2199,1006,3.2452
0.2244,1006,3.2452
0.2290,1005,3.2419
0.2336,1007,3.2484
0.2382,1005,3.2419
0.2428,1007,3.2484
0.2477,1006,3.2452
0.2525,1007,3.2484
0.2571,1003,3.2355
0.2618,1005,3.2419
0.2664,1006,3.2452
0.2710,1006,3.2452
0.2756,1005,3.2419
0.2803,1007,3.2484
0.2852,1005,3.2419
0.2901,1006,3.2452
0.2951,1004,3.2387
0.3000,1006,3.2452
0.3048,1006,3.2452
0.3093,1007,3.2484
0.3138,1006,3.2452
0.3183,1007,3.2484
0.3227,1006,3.2452
0.3270,1004,3.2387
0.3314,1005,3.2419
0.3357,1006,3.2452
0.3400,1007,3.2484
0.3443,1007,3.2484
0.3485,1006,3.2452
0.3529,1007,3.2484
0.3572,1006,3.2452
0.3616,1004,3.2387
0.3659,1006,3.2452
0.3702,1004,3.2387
