time_s,adc_raw,voltage
0.0000,420,1.3548
0.0046,561,1.8097
0.0186,395,1.2742
0.0255,579,1.8677
0.0301,578,1.8645
0.0347,446,1.4387
0.0393,426,1.3742
0.0438,560,1.8065
0.0483,625,2.0161
0.0528,529,1.7065
0.0574,448,1.4452
0.0619,542,1.7484
0.0665,659,2.1258
0.0711,603,1.9452
0.0758,449,1.4484
0.0806,464,1.4968
0.0852,598,1.9290
0.0899,590,1.9032
0.0945,442,1.4258
0.0990,396,1.2774
0.1036,521,1.6806
0.1082,582,1.8774
0.1128,475,1.5323
0.1173,376,1.2129
0.1219,460,1.4839
0.1265,580,1.8710
0.1311,536,1.7290
0.1357,396,1.2774
0.1403,411,1.3258
0.1449,550,1.7742
0.1495,568,1.8323
0.1541,433,1.3968
0.1587,368,1.1871
0.1633,470,1.5161
0.1678,539,1.7387
0.1724,465,1.5000
0.1773,441,1.4226
0.1819,665,2.1452
0.1865,955,3.0806
0.1911,1001,3.2290
0.1956,1001,3.2290
0.2002,1001,3.2290
0.2048,996,3.2129
0.2093,855,2.7581
0.2139,527,1.7000
0.2189,346,1.1161
0.2234,442,1.4258
0.2279,528,1.7032
0.2324,452,1.4581
0.2370,357,1.1516
0.2415,430,1.3871
0.2461,564,1.8194
0.2508,534,1.7226
0.2555,399,1.2871
0.2619,465,1.5000
0.2667,590,1.9032
0.2713,541,1.7452
0.2758,409,1.3194
0.2804,430,1.3871
0.2850,575,1.8548
0.2897,590,1.9032
0.3074,623,2.0097
0.3157,438,1.4129
0.3208,475,1.5323
0.3258,627,2.0226
0.3309,600,1.9355
0.3360,455,1.4677
0.3413,513,1.6548
0.3463,655,2.1129
0.3510,623,2.0097
0.3555,491,1.5839
0.3601,500,1.6129
0.3647,645,2.0806
0.3693,679,2.1903
0.3739,553,1.7839
0.3785,499,1.6097
0.3831,625,2.0161
0.3877,720,2.3226
0.3923,636,2.0516
0.3970,526,1.6968
0.4016,597,1.9258
0.4062,730,2.3548
0.4107,703,2.2677
0.4154,563,1.8161
0.4199,562,1.8129
0.4247,707,2.2806
0.4294,730,2.3548
0.4339,595,1.9194
0.4385,526,1.6968
0.4431,634,2.0452
0.4477,712,2.2968
0.4522,611,1.9710
0.4568,482,1.5548
0.4613,528,1.7032
0.4659,647,2.0871
0.4704,619,1.9968
0.4749,467,1.5065
0.4796,436,1.4065
0.4841,565,1.8226
0.4887,609,1.9645
0.4933,484,1.5613
0.4978,393,1.2677
0.5024,486,1.5677
0.5069,595,1.9194
0.5115,537,1.7323
0.5160,404,1.3032
0.5206,432,1.3935
0.5252,573,1.8484
0.5298,579,1.8677
0.5344,444,1.4323
0.5389,401,1.2935
0.5435,528,1.7032
0.5480,601,1.9387
0.5526,506,1.6323
0.5572,402,1.2968
0.5617,476,1.5355
0.5663,604,1.9484
0.5708,569,1.8355
0.5754,430,1.3871
0.5800,432,1.3935
0.5845,571,1.8419
0.5891,606,1.9548
0.5937,480,1.5484
0.5983,411,1.3258
0.6029,524,1.6903
0.6074,621,2.0032
0.6119,545,1.7581
0.6165,421,1.3581
0.6210,461,1.4871
0.6255,594,1.9161
0.6301,591,1.9065
0.6346,453,1.4613
0.6391,417,1.3452
0.6437,546,1.7613
0.6483,615,1.9839
0.6529,510,1.6452
0.6574,409,1.3194
0.6620,483,1.5581
0.6665,601,1.9387
0.6711,557,1.7968
0.6756,419,1.3516
0.6801,424,1.3677
0.6847,564,1.8194
0.6893,593,1.9129
0.6938,464,1.4968
0.6983,396,1.2774
0.7029,505,1.6290
0.7074,599,1.9323
0.7120,526,1.6968
0.7165,400,1.2903
0.7210,441,1.4226
0.7256,575,1.8548
0.7301,568,1.8323
0.7347,432,1.3935
0.7393,406,1.3097
0.7439,543,1.7516
