time_s,adc_raw,voltage
0.0000,649,2.0935
0.0044,510,1.6452
0.0087,337,1.0871
0.0289,348,1.1226
0.0334,460,1.4839
0.0380,651,2.1000
0.0424,621,2.0032
0.0468,405,1.3065
0.0513,358,1.1548
0.0557,554,1.7871
0.0601,662,2.1355
0.0645,515,1.6613
0.0689,336,1.0839
0.0734,432,1.3935
0.0778,623,2.0097
0.0822,607,1.9581
0.0866,387,1.2484
0.0910,322,1.0387
0.0954,510,1.6452
0.0999,628,2.0258
0.1043,489,1.5774
0.1087,307,0.9903
0.1132,391,1.2613
0.1176,587,1.8935
0.1220,588,1.8968
0.1264,383,1.2355
0.1308,313,1.0097
0.1353,502,1.6194
0.1396,631,2.0355
0.1440,505,1.6290
0.1484,316,1.0194
0.1527,377,1.2161
0.1571,579,1.8677
0.1614,612,1.9742
0.1658,414,1.3355
0.1705,312,1.0065
0.1750,493,1.5903
0.1796,633,2.0419
0.1845,485,1.5645
0.1889,318,1.0258
0.1933,412,1.3290
0.1977,604,1.9484
0.2020,604,1.9484
0.2064,403,1.3000
0.2108,331,1.0677
0.2291,324,1.0452
0.2338,449,1.4484
0.2391,642,2.0710
0.2439,524,1.6903
0.2487,329,1.0613
0.2536,441,1.4226
0.2583,628,2.0258
0.2626,587,1.8935
0.2670,381,1.2290
0.2713,355,1.1452
0.2757,553,1.7839
0.2800,660,2.1290
0.2843,522,1.6839
0.2887,346,1.1161
0.2931,425,1.3710
0.2974,615,1.9839
0.3017,628,2.0258
0.3060,431,1.3903
0.3104,337,1.0871
0.3147,501,1.6161
0.3190,649,2.0935
0.3233,564,1.8194
0.3277,365,1.1774
0.3320,378,1.2194
0.3363,577,1.8613
0.3407,648,2.0903
0.3450,479,1.5452
0.3493,333,1.0742
0.3537,448,1.4452
0.3580,628,2.0258
0.3623,598,1.9290
0.3667,379,1.2226
0.3710,314,1.0129
0.3754,494,1.5935
0.3797,615,1.9839
0.3840,491,1.5839
0.3883,305,0.9839
0.3927,364,1.1742
0.3970,565,1.8226
0.4014,598,1.9290
0.4057,408,1.3161
0.4100,290,0.9355
0.4143,440,1.4194
0.4187,603,1.9452
0.4231,544,1.7548
0.4274,354,1.1419
0.4317,344,1.1097
0.4360,538,1.7355
0.4404,625,2.0161
0.4447,468,1.5097
0.4490,305,0.9839
0.4533,400,1.2903
0.4577,591,1.9065
0.4620,588,1.8968
0.4663,388,1.2516
0.4707,308,0.9935
0.4750,485,1.5645
0.4793,623,2.0097
0.4836,518,1.6710
0.4880,322,1.0387
0.4923,349,1.1258
0.4966,557,1.7968
0.5010,620,2.0000
