time_s,adc_raw,voltage
0,507,1.6355
0.0044,509,1.6419
0.0088,524,1.6903
0.0131,542,1.7484
0.0174,556,1.7935
0.0218,568,1.8323
0.0261,580,1.871
0.0305,589,1.9
0.0348,594,1.9161
0.0391,596,1.9226
0.0434,606,1.9548
0.0477,610,1.9677
0.0521,611,1.971
0.0564,607,1.9581
0.0607,607,1.9581
0.0651,607,1.9581
0.0695,606,1.9548
0.0738,601,1.9387
0.0781,596,1.9226
0.0824,597,1.9258
0.0866,600,1.9355
0.0908,602,1.9419
0.095,604,1.9484
0.0992,606,1.9548
0.1034,610,1.9677
0.1075,613,1.9774
0.1117,621,2.0032
0.1159,627,2.0226
0.1201,632,2.0387
0.1243,640,2.0645
0.1285,647,2.0871
0.1326,648,2.0903
0.1368,648,2.0903
0.1411,647,2.0871
0.1456,648,2.0903
0.1501,647,2.0871
0.1548,641,2.0677
0.1594,633,2.0419
0.1637,626,2.0194
0.1679,625,2.0161
0.172,625,2.0161
0.1763,620,2
0.1807,612,1.9742
0.1852,608,1.9613
0.19,604,1.9484
0.1947,601,1.9387
0.1993,595,1.9194
0.204,588,1.8968
0.2084,587,1.8935
0.2127,586,1.8903
0.2171,586,1.8903
0.2214,585,1.8871
0.2257,584,1.8839
0.23,585,1.8871
0.2343,582,1.8774
0.2386,580,1.871
0.2429,578,1.8645
0.2471,577,1.8613
0.2513,577,1.8613
0.2555,574,1.8516
0.2596,573,1.8484
0.2638,567,1.829
0.268,568,1.8323
0.2721,577,1.8613
0.2763,579,1.8677
0.2805,591,1.9065
0.2846,626,2.0194
0.2888,676,2.1806
0.293,686,2.2129
0.2972,588,1.8968
0.3013,462,1.4903
0.3055,379,1.2226
0.3097,356,1.1484
0.3138,348,1.1226
0.318,322,1.0387
0.3222,296,0.9548
0.3263,298,0.9613
0.3305,333,1.0742
0.3347,373,1.2032
0.3388,405,1.3065
0.343,417,1.3452
0.3471,413,1.3323
0.3513,406,1.3097
0.3555,399,1.2871
0.3597,394,1.271
0.3638,390,1.2581
0.368,389,1.2548
0.3722,386,1.2452
0.3763,384,1.2387
0.3805,382,1.2323
0.3847,381,1.229
0.3888,380,1.2258
0.393,377,1.2161
0.3972,375,1.2097
0.4013,374,1.2065
0.4055,376,1.2129
0.4097,378,1.2194
0.4139,376,1.2129
0.4181,376,1.2129
0.4223,383,1.2355
0.4265,385,1.2419
0.4307,384,1.2387
0.4349,383,1.2355
0.4391,382,1.2323
0.4433,380,1.2258
0.4475,378,1.2194
0.4517,377,1.2161
0.4559,378,1.2194
0.4601,383,1.2355
0.4642,390,1.2581
0.4684,395,1.2742
0.4726,398,1.2839
0.4767,396,1.2774
0.4809,397,1.2806
0.4851,399,1.2871
0.4892,404,1.3032
0.4934,411,1.3258
0.4976,419,1.3516
0.5017,423,1.3645
0.5059,427,1.3774
0.5101,430,1.3871
0.5142,433,1.3968
0.5184,435,1.4032
0.5226,437,1.4097
0.5267,437,1.4097
0.5309,437,1.4097
0.5351,434,1.4
0.5392,429,1.3839
0.5434,423,1.3645
0.5476,413,1.3323
0.5517,403,1.3
0.5559,390,1.2581
0.56,379,1.2226
0.5642,371,1.1968
0.5684,362,1.1677
0.5725,356,1.1484
0.5767,354,1.1419
0.5809,350,1.129
0.585,348,1.1226
0.5892,347,1.1194
0.5934,346,1.1161
0.5975,349,1.1258
0.6017,352,1.1355
0.6059,357,1.1516
0.61,364,1.1742
0.6142,372,1.2
0.6184,385,1.2419
0.6225,400,1.2903
0.6267,417,1.3452
0.6309,431,1.3903
0.635,447,1.4419
0.6392,467,1.5065
0.6434,483,1.5581
0.6475,496,1.6
0.6517,513,1.6548
0.6558,525,1.6935
0.66,539,1.7387
0.6642,551,1.7774
0.6683,558,1.8
0.6725,566,1.8258
0.6767,585,1.8871
0.6808,607,1.9581
0.685,623,2.0097
0.6892,637,2.0548
0.6933,649,2.0935
0.6975,661,2.1323
0.7017,666,2.1484
0.7058,670,2.1613
0.71,668,2.1548
0.7142,665,2.1452
0.7183,660,2.129
0.7225,664,2.1419
0.7266,667,2.1516
0.7308,667,2.1516
0.735,669,2.1581
0.7391,670,2.1613
0.7433,670,2.1613
0.7475,666,2.1484
0.7516,662,2.1355
0.7558,660,2.129
0.76,656,2.1161
0.7641,652,2.1032
0.7683,650,2.0968
0.7725,645,2.0806
0.7766,636,2.0516
0.7808,627,2.0226
0.7849,624,2.0129
0.7891,624,2.0129
0.7933,623,2.0097
0.7974,618,1.9935
0.8016,614,1.9806
0.8059,608,1.9613
0.8102,602,1.9419
0.8144,601,1.9387
0.8187,598,1.929
0.823,594,1.9161
0.8272,596,1.9226
0.8315,597,1.9258
0.8358,596,1.9226
0.84,595,1.9194
0.8443,592,1.9097
0.8485,593,1.9129
0.8528,592,1.9097
0.8571,588,1.8968
0.8614,581,1.8742
0.8656,580,1.871
0.8699,579,1.8677
0.8742,574,1.8516
0.8784,573,1.8484
0.8827,575,1.8548
0.887,579,1.8677
0.8913,579,1.8677
0.8955,569,1.8355
0.8998,554,1.7871
0.9041,541,1.7452
0.9084,529,1.7065
0.9127,515,1.6613
0.917,493,1.5903
0.9213,476,1.5355
0.9256,470,1.5161
0.9299,466,1.5032
0.9342,460,1.4839
0.9385,449,1.4484
0.9428,441,1.4226
0.9471,437,1.4097
0.9514,437,1.4097
0.9557,436,1.4065
0.96,437,1.4097
0.9643,438,1.4129
0.9686,435,1.4032
0.9728,427,1.3774
0.9772,418,1.3484
0.9814,411,1.3258
0.9858,406,1.3097
0.99,405,1.3065
0.9943,403,1.3
0.9987,402,1.2968
1.003,401,1.2935
1.0073,402,1.2968
1.0116,404,1.3032
1.0159,409,1.3194
1.0202,421,1.3581
1.0246,446,1.4387
1.029,477,1.5387
1.0334,507,1.6355
1.0377,529,1.7065
1.042,551,1.7774
1.0463,568,1.8323
1.0506,576,1.8581
1.0548,579,1.8677
1.0591,578,1.8645
1.0635,580,1.871
1.0677,580,1.871
1.072,567,1.829
1.0763,544,1.7548
1.0806,524,1.6903
1.0849,511,1.6484
1.0892,505,1.629
1.0935,512,1.6516
1.0978,518,1.671
1.1021,519,1.6742
1.1064,528,1.7032
1.1106,536,1.729
1.1149,545,1.7581
1.1191,550,1.7742
1.1234,547,1.7645
1.1277,545,1.7581
1.132,541,1.7452
1.1363,534,1.7226
1.1405,527,1.7
1.1448,526,1.6968
1.1491,529,1.7065
1.1534,531,1.7129
1.1576,535,1.7258
1.1619,540,1.7419
1.1661,547,1.7645
1.1704,557,1.7968
1.1746,560,1.8065
1.1789,562,1.8129
1.1832,568,1.8323
1.1874,591,1.9065
1.1917,621,2.0032
1.196,668,2.1548
1.2003,737,2.3774
1.2046,804,2.5935
1.2089,819,2.6419
1.2132,717,2.3129
1.2175,597,1.9258
1.2218,529,1.7065
1.2261,521,1.6806
1.2304,518,1.671
1.2347,496,1.6
1.239,480,1.5484
1.2433,495,1.5968
1.2476,536,1.729
1.2519,578,1.8645
1.2562,603,1.9452
1.2605,616,1.9871
1.2648,620,2
1.2691,624,2.0129
1.2734,623,2.0097
1.2777,624,2.0129
1.2819,622,2.0065
1.2862,619,1.9968
1.2905,621,2.0032
1.2948,622,2.0065
1.2992,623,2.0097
1.3035,619,1.9968
1.3078,617,1.9903
1.3122,618,1.9935
1.3165,615,1.9839
1.3208,611,1.971
1.3255,608,1.9613
1.33,605,1.9516
1.3345,601,1.9387
1.3389,599,1.9323
1.3432,602,1.9419
1.3475,605,1.9516
1.3518,602,1.9419
1.3562,604,1.9484
1.3605,607,1.9581
1.3648,608,1.9613
1.3691,610,1.9677
1.3734,607,1.9581
1.3777,607,1.9581
1.382,608,1.9613
1.3863,611,1.971
1.3906,612,1.9742
1.3949,610,1.9677
1.3993,611,1.971
1.4037,612,1.9742
1.4084,620,2
1.4127,618,1.9935
1.4171,618,1.9935
1.4213,617,1.9903
1.4256,615,1.9839
1.4298,614,1.9806
1.4341,609,1.9645
1.4384,605,1.9516
1.4426,600,1.9355
1.4469,594,1.9161
1.4512,585,1.8871
1.4555,576,1.8581
1.4598,566,1.8258
1.464,552,1.7806
1.4683,537,1.7323
1.4726,517,1.6677
1.4768,500,1.6129
1.4811,487,1.571
1.4853,474,1.529
1.4896,462,1.4903
1.4939,452,1.4581
1.4982,444,1.4323
1.5025,438,1.4129
1.5068,442,1.4258
1.5111,446,1.4387
1.5154,447,1.4419
1.5197,449,1.4484
1.524,447,1.4419
1.5282,443,1.429
1.5325,437,1.4097
1.5368,432,1.3935
1.541,431,1.3903
1.5453,434,1.4
1.5496,439,1.4161
1.5539,438,1.4129
1.5582,435,1.4032
1.5624,429,1.3839
1.5667,416,1.3419
1.571,404,1.3032
1.5753,402,1.2968
1.5796,414,1.3355
1.5838,431,1.3903
1.5881,444,1.4323
1.593,453,1.4613
1.5973,456,1.471
1.6016,462,1.4903
1.6059,465,1.5
1.6102,468,1.5097
1.6144,473,1.5258
1.6187,479,1.5452
1.6229,485,1.5645
1.6272,488,1.5742
1.6315,487,1.571
1.6357,490,1.5806
1.6399,491,1.5839
1.6442,494,1.5935
1.6485,498,1.6065
1.6527,498,1.6065
1.657,497,1.6032
1.6613,498,1.6065
1.6656,499,1.6097
1.6698,501,1.6161
1.6741,503,1.6226
1.6783,506,1.6323
1.6826,511,1.6484
1.6869,517,1.6677
1.6911,521,1.6806
1.6954,519,1.6742
1.6997,516,1.6645
1.704,515,1.6613
1.7082,520,1.6774
1.7126,523,1.6871
1.7168,519,1.6742
1.7212,519,1.6742
1.7254,520,1.6774
1.7297,526,1.6968
1.734,528,1.7032
1.7383,529,1.7065
1.7426,527,1.7
1.747,529,1.7065
1.7513,528,1.7032
1.7556,526,1.6968
1.7599,525,1.6935
1.7642,527,1.7
1.7685,530,1.7097
1.7727,532,1.7161
1.7771,538,1.7355
1.7814,540,1.7419
1.7857,541,1.7452
1.79,540,1.7419
1.7943,535,1.7258
1.7986,530,1.7097
1.8029,526,1.6968
1.8072,523,1.6871
1.8115,524,1.6903
1.8158,524,1.6903
1.8201,523,1.6871
1.8244,522,1.6839
1.8287,518,1.671
1.8335,513,1.6548
1.8378,510,1.6452
1.8421,510,1.6452
1.8464,511,1.6484
1.8507,511,1.6484
1.855,506,1.6323
1.8593,503,1.6226
1.8636,500,1.6129
1.8679,501,1.6161
1.8722,501,1.6161
1.8765,503,1.6226
1.8808,505,1.629
1.8851,505,1.629
1.8894,507,1.6355
1.8937,507,1.6355
1.898,503,1.6226
1.9023,503,1.6226
1.9066,504,1.6258
1.9109,504,1.6258
1.9152,506,1.6323
1.9194,507,1.6355
1.9238,509,1.6419
1.9288,512,1.6516
1.9332,511,1.6484
1.9375,507,1.6355
1.9418,502,1.6194
1.9461,505,1.629
1.9503,511,1.6484
1.9546,512,1.6516
1.9589,511,1.6484
1.9632,509,1.6419
1.9675,505,1.629
1.9718,500,1.6129
1.976,494,1.5935
1.9803,489,1.5774
1.9846,488,1.5742
1.9889,489,1.5774
1.9931,490,1.5806
1.9974,490,1.5806
2.0017,486,1.5677
2.006,486,1.5677
2.0103,489,1.5774
2.0146,492,1.5871
2.0189,493,1.5903
2.0232,491,1.5839
2.0275,487,1.571
2.0318,485,1.5645
