time_s,adc_raw,voltage
0.0000,363,1.1710
0.0044,312,1.0065
0.0087,255,0.8226
0.0131,252,0.8129
0.0174,268,0.8645
0.0217,248,0.8000
0.0261,216,0.6968
0.0305,246,0.7935
0.0348,317,1.0226
0.0393,381,1.2290
0.0437,393,1.2677
0.0482,398,1.2839
0.0529,447,1.4419
0.0573,508,1.6387
0.0616,547,1.7645
0.0660,554,1.7871
0.0703,569,1.8355
0.0746,620,2.0000
0.0790,654,2.1097
0.0850,600,1.9355
0.0895,557,1.7968
0.0940,572,1.8452
0.0987,587,1.8935
0.1032,547,1.7645
0.1076,493,1.5903
0.1121,510,1.6452
0.1165,558,1.8000
0.1216,543,1.7516
0.1264,481,1.5516
0.1310,472,1.5226
0.1354,517,1.6677
0.1397,532,1.7161
0.1439,485,1.5645
0.1481,462,1.4903
0.1523,487,1.5710
0.1565,519,1.6742
0.1606,502,1.6194
0.1648,447,1.4419
0.1690,412,1.3290
0.1732,441,1.4226
0.1773,492,1.5871
0.1815,487,1.5710
0.1857,446,1.4387
0.1899,443,1.4290
0.1941,499,1.6097
0.1982,536,1.7290
0.2024,522,1.6839
0.2066,481,1.5516
0.2108,471,1.5194
0.2150,518,1.6710
0.2191,572,1.8452
0.2233,558,1.8000
0.2275,528,1.7032
0.2317,541,1.7452
0.2359,584,1.8839
0.2401,593,1.9129
0.2443,549,1.7710
0.2487,513,1.6548
0.2530,543,1.7516
0.2573,586,1.8903
0.2615,585,1.8871
0.2658,553,1.7839
0.2701,554,1.7871
0.2745,603,1.9452
0.2788,641,2.0677
0.2830,627,2.0226
0.2873,587,1.8935
0.2916,578,1.8645
0.2958,611,1.9710
0.3000,621,2.0032
0.3045,550,1.7742
0.3087,479,1.5452
0.3129,479,1.5452
0.3170,512,1.6516
0.3212,515,1.6613
0.3253,471,1.5194
0.3295,438,1.4129
0.3337,458,1.4774
0.3378,495,1.5968
0.3420,473,1.5258
0.3462,425,1.3710
0.3503,425,1.3710
0.3545,474,1.5290
0.3586,501,1.6161
0.3628,468,1.5097
0.3670,412,1.3290
0.3711,402,1.2968
0.3753,448,1.4452
0.3795,469,1.5129
0.3836,435,1.4032
0.3878,407,1.3129
0.3920,426,1.3742
0.3961,484,1.5613
0.4003,509,1.6419
0.4044,470,1.5161
0.4086,442,1.4258
0.4128,473,1.5258
0.4169,521,1.6806
0.4211,511,1.6484
0.4252,439,1.4161
0.4295,390,1.2581
0.4337,412,1.3290
0.4380,454,1.4645
0.4421,456,1.4710
0.4464,426,1.3742
0.4505,427,1.3774
0.4547,491,1.5839
0.4588,537,1.7323
0.4630,537,1.7323
0.4672,539,1.7387
0.4713,563,1.8161
0.4755,613,1.9774
0.4797,612,1.9742
0.4838,540,1.7419
0.4880,463,1.4935
0.4921,472,1.5226
0.4963,541,1.7452
0.5005,564,1.8194
0.5046,543,1.7516
0.5088,539,1.7387
0.5130,581,1.8742
0.5172,625,2.0161
0.5213,614,1.9806
0.5255,541,1.7452
0.5297,498,1.6065
0.5338,523,1.6871
0.5380,533,1.7194
0.5421,476,1.5355
0.5463,386,1.2452
0.5505,337,1.0871
0.5546,353,1.1387
0.5588,367,1.1839
0.5630,310,1.0000
0.5671,232,0.7484
0.5713,214,0.6903
0.5755,247,0.7968
0.5796,252,0.8129
0.5838,202,0.6516
0.5879,149,0.4806
0.5921,158,0.5097
0.5962,190,0.6129
0.6004,181,0.5839
0.6046,111,0.3581
0.6087,82,0.2645
0.6129,145,0.4677
0.6171,255,0.8226
0.6212,317,1.0226
0.6254,329,1.0613
0.6296,351,1.1323
0.6337,421,1.3581
0.6379,489,1.5774
0.6421,484,1.5613
0.6462,444,1.4323
0.6504,449,1.4484
0.6546,509,1.6419
0.6587,556,1.7935
0.6629,543,1.7516
0.6670,501,1.6161
0.6712,521,1.6806
0.6754,604,1.9484
0.6795,663,2.1387
0.6837,659,2.1258
0.6878,661,2.1323
0.6920,700,2.2581
0.6962,751,2.4226
0.7003,782,2.5226
0.7045,774,2.4968
0.7087,782,2.5226
0.7128,852,2.7484
0.7170,941,3.0355
0.7212,980,3.1613
0.7253,967,3.1194
0.7295,971,3.1323
0.7337,999,3.2226
0.7378,1001,3.2290
0.7420,1003,3.2355
0.7461,1002,3.2323
0.7503,1003,3.2355
0.7544,1005,3.2419
0.7586,1003,3.2355
0.7628,1004,3.2387
0.7669,1006,3.2452
0.7711,1007,3.2484
0.7752,1004,3.2387
0.7795,1007,3.2484
0.7836,1004,3.2387
0.7879,1003,3.2355
0.7921,1002,3.2323
0.7964,1001,3.2290
0.8006,963,3.1065
0.8048,801,2.5839
0.8091,684,2.2065
0.8133,671,2.1645
0.8175,697,2.2484
0.8219,689,2.2226
0.8261,651,2.1000
0.8304,630,2.0323
0.8346,666,2.1484
0.8388,700,2.2581
0.8431,683,2.2032
0.8473,645,2.0806
0.8515,648,2.0903
0.8558,680,2.1935
0.8600,686,2.2129
0.8642,631,2.0355
0.8685,604,1.9484
0.8727,653,2.1065
0.8770,736,2.3742
0.8813,758,2.4452
0.8856,717,2.3129
0.8898,708,2.2839
0.8941,766,2.4710
0.8985,827,2.6677
0.9028,830,2.6774
0.9071,811,2.6161
0.9113,822,2.6516
0.9156,851,2.7452
