time_s,adc_raw,voltage
0.0000,0,0.0000
0.0046,0,0.0000
0.0090,1004,3.2387
0.0135,1007,3.2484
0.0179,517,1.6677
0.0224,0,0.0000
0.0268,40,0.1290
0.0313,1005,3.2419
0.0357,1006,3.2452
0.0402,0,0.0000
0.0446,0,0.0000
0.0491,1003,3.2355
0.0535,1005,3.2419
0.0580,395,1.2742
0.0625,0,0.0000
0.0671,115,0.3710
0.0716,1007,3.2484
0.0762,1004,3.2387
0.0807,0,0.0000
0.0852,0,0.0000
0.0898,1007,3.2484
0.0944,1007,3.2484
0.0989,0,0.0000
0.1034,0,0.0000
0.1080,592,1.9097
0.1125,1007,3.2484
0.1171,864,2.7871
0.1216,0,0.0000
0.1262,0,0.0000
0.1307,1007,3.2484
0.1353,1006,3.2452
0.1398,0,0.0000
0.1444,0,0.0000
0.1489,1005,3.2419
0.1534,1006,3.2452
0.1580,391,1.2613
0.1625,0,0.0000
0.1671,168,0.5419
0.1716,1006,3.2452
0.1762,1005,3.2419
0.1807,0,0.0000
0.1853,0,0.0000
0.1899,1004,3.2387
0.1944,1006,3.2452
0.1989,0,0.0000
0.2033,0,0.0000
0.2078,540,1.7419
0.2122,1006,3.2452
0.2168,998,3.2194
0.2212,0,0.0000
0.2256,0,0.0000
0.2300,1006,3.2452
0.2344,1007,3.2484
0.2387,0,0.0000
0.2432,0,0.0000
0.2478,577,1.8613
0.2524,1006,3.2452
0.2569,950,3.0645
0.2615,0,0.0000
0.2798,0,0.0000
0.2844,0,0.0000
0.2889,1005,3.2419
0.2935,1005,3.2419
0.2980,288,0.9290
0.3027,0,0.0000
0.3073,300,0.9677
0.3121,1005,3.2419
0.3168,925,2.9839
0.3216,0,0.0000
0.3263,0,0.0000
0.3307,1007,3.2484
0.3352,1006,3.2452
0.3397,0,0.0000
0.3442,0,0.0000
0.3487,1003,3.2355
0.3531,1008,3.2516
0.3576,533,1.7194
0.3621,0,0.0000
0.3666,0,0.0000
0.3710,1006,3.2452
0.3754,1006,3.2452
0.3797,0,0.0000
0.3840,0,0.0000
0.3883,815,2.6290
0.3926,1006,3.2452
0.3970,898,2.8968
0.4013,0,0.0000
0.4056,0,0.0000
0.4099,1006,3.2452
0.4142,1005,3.2419
0.4186,0,0.0000
0.4228,0,0.0000
0.4271,179,0.5774
0.4314,1005,3.2419
0.4358,999,3.2226
0.4403,0,0.0000
0.4447,0,0.0000
0.4490,1006,3.2452
0.4533,1007,3.2484
0.4697,1006,3.2452
0.4742,1006,3.2452
0.4786,0,0.0000
0.4830,0,0.0000
0.4874,350,1.1290
0.4917,1005,3.2419
0.4960,1005,3.2419
0.5004,0,0.0000
0.5047,0,0.0000
0.5090,1005,3.2419
0.5133,1004,3.2387
0.5176,554,1.7871
0.5220,0,0.0000
0.5263,0,0.0000
0.5305,1006,3.2452
0.5348,1004,3.2387
0.5392,0,0.0000
0.5436,0,0.0000
0.5480,781,2.5194
0.5524,1005,3.2419
0.5567,983,3.1710
0.5611,0,0.0000
0.5654,0,0.0000
0.5697,1007,3.2484
0.5741,1006,3.2452
0.5784,42,0.1355
0.5828,0,0.0000
0.5872,267,0.8613
0.5915,1003,3.2355
0.5958,1005,3.2419
0.6001,0,0.0000
0.6044,0,0.0000
0.6087,1005,3.2419
0.6130,1006,3.2452
0.6174,682,2.2000
0.6217,0,0.0000
0.6261,0,0.0000
0.6305,1005,3.2419
0.6348,1005,3.2419
0.6392,0,0.0000
0.6437,0,0.0000
0.6481,838,2.7032
0.6525,1005,3.2419
0.6568,921,2.9710
0.6612,0,0.0000
0.6656,0,0.0000
0.6699,1005,3.2419
0.6743,1005,3.2419
0.6786,0,0.0000
0.6830,0,0.0000
0.6874,396,1.2774
0.6917,1006,3.2452
0.6961,1004,3.2387
0.7005,0,0.0000
0.7048,0,0.0000
0.7094,1004,3.2387
0.7140,1007,3.2484
0.7186,0,0.0000
0.7230,0,0.0000
0.7275,458,1.4774
0.7319,1006,3.2452
0.7363,1004,3.2387
0.7407,0,0.0000
0.7450,0,0.0000
0.7494,1004,3.2387
0.7537,1007,3.2484
0.7581,208,0.6710
0.7624,0,0.0000
0.7668,110,0.3548
0.7711,1008,3.2516
0.7754,1005,3.2419
0.7797,0,0.0000
0.7840,0,0.0000
0.7883,998,3.2194
0.7927,1007,3.2484
0.7970,832,2.6839
0.8013,0,0.0000
0.8056,0,0.0000
0.8099,1005,3.2419
0.8143,1006,3.2452
0.8186,0,0.0000
0.8228,0,0.0000
0.8269,187,0.6032
0.8311,1004,3.2387
0.8354,1007,3.2484
0.8396,0,0.0000
0.8449,0,0.0000
0.8492,1004,3.2387
0.8534,1007,3.2484
0.8576,514,1.6581
0.8618,0,0.0000
0.8660,0,0.0000
0.8702,1004,3.2387
0.8745,1007,3.2484
0.8786,0,0.0000
0.8828,0,0.0000
0.8870,237,0.7645
0.8912,1006,3.2452
0.8954,1007,3.2484
0.8996,0,0.0000
0.9038,0,0.0000
0.9080,831,2.6806
0.9122,1005,3.2419
0.9164,1002,3.2323
0.9206,0,0.0000
0.9248,0,0.0000
0.9289,1006,3.2452
0.9332,1004,3.2387
