time_s,adc_raw,voltage
0.0000,0,0.0000
0.0044,0,0.0000
0.0088,1005,3.2419
0.0132,1005,3.2419
0.0176,812,2.6194
0.0220,0,0.0000
0.0269,1005,3.2419
0.0320,1005,3.2419
0.0370,997,3.2161
0.0413,0,0.0000
0.0456,381,1.2290
0.0499,1007,3.2484
0.0542,1004,3.2387
0.0586,191,0.6161
0.0629,0,0.0000
0.0673,1006,3.2452
0.0716,1007,3.2484
0.0759,1004,3.2387
0.0802,0,0.0000
0.0845,190,0.6129
0.0889,1006,3.2452
0.0932,1006,3.2452
0.0975,917,2.9581
0.1018,0,0.0000
0.1062,885,2.8548
0.1105,1007,3.2484
0.1149,1006,3.2452
0.1192,0,0.0000
0.1236,0,0.0000
0.1280,1005,3.2419
0.1323,1005,3.2419
0.1366,1002,3.2323
0.1409,0,0.0000
0.1453,309,0.9968
0.1495,1007,3.2484
0.1539,1007,3.2484
0.1582,417,1.3452
0.1625,0,0.0000
0.1668,1003,3.2355
0.1711,1007,3.2484
0.1754,1004,3.2387
0.1797,0,0.0000
0.1840,0,0.0000
0.1883,1006,3.2452
0.1927,1004,3.2387
0.1970,1000,3.2258
0.2013,0,0.0000
0.2056,637,2.0548
0.2099,1004,3.2387
0.2142,1005,3.2419
0.2185,181,0.5839
0.2229,0,0.0000
0.2272,1004,3.2387
0.2315,1004,3.2387
0.2358,1004,3.2387
0.2401,0,0.0000
0.2444,252,0.8129
0.2487,1004,3.2387
0.2530,1006,3.2452
0.2573,957,3.0871
0.2617,0,0.0000
0.2660,972,3.1355
0.2703,1007,3.2484
0.2747,1004,3.2387
0.2790,0,0.0000
0.2834,0,0.0000
0.2877,1007,3.2484
0.2921,1006,3.2452
0.2964,1004,3.2387
0.3007,0,0.0000
0.3052,330,1.0645
0.3095,1005,3.2419
0.3139,1004,3.2387
0.3182,272,0.8774
0.3226,0,0.0000
0.3269,1006,3.2452
0.3312,1006,3.2452
0.3356,1007,3.2484
0.3399,0,0.0000
0.3442,0,0.0000
0.3485,1006,3.2452
0.3529,1005,3.2419
0.3572,772,2.4903
0.3616,0,0.0000
0.3659,793,2.5581
0.3702,1005,3.2419
0.3745,1005,3.2419
0.3788,0,0.0000
0.3832,0,0.0000
0.3875,1006,3.2452
0.3919,1007,3.2484
0.3962,1005,3.2419
0.4005,0,0.0000
0.4048,138,0.4452
0.4092,1007,3.2484
0.4136,1006,3.2452
0.4179,373,1.2032
0.4222,0,0.0000
0.4265,1006,3.2452
0.4308,1003,3.2355
0.4352,1004,3.2387
0.4395,0,0.0000
0.4438,0,0.0000
0.4481,1004,3.2387
0.4525,1005,3.2419
0.4568,938,3.0258
0.4611,0,0.0000
0.4654,520,1.6774
0.4697,1006,3.2452
0.4740,1006,3.2452
0.4783,116,0.3742
0.4826,0,0.0000
0.4869,1005,3.2419
0.4913,1004,3.2387
0.4956,1005,3.2419
0.4999,0,0.0000
0.5042,0,0.0000
0.5085,1006,3.2452
0.5129,1003,3.2355
0.5173,700,2.2581
0.5216,0,0.0000
0.5259,999,3.2226
0.5303,1004,3.2387
0.5346,1006,3.2452
0.5389,0,0.0000
0.5432,0,0.0000
0.5475,1006,3.2452
0.5519,1006,3.2452
0.5562,1004,3.2387
0.5605,0,0.0000
0.5649,864,2.7871
0.5692,1006,3.2452
0.5736,1005,3.2419
0.5779,498,1.6065
0.5822,0,0.0000
0.5866,1007,3.2484
0.5909,1006,3.2452
0.5952,1005,3.2419
0.5996,0,0.0000
0.6039,200,0.6452
0.6082,1005,3.2419
0.6125,1006,3.2452
0.6168,991,3.1968
0.6211,0,0.0000
0.6255,1005,3.2419
0.6298,1004,3.2387
0.6341,1005,3.2419
0.6384,89,0.2871
0.6427,0,0.0000
0.6471,1006,3.2452
0.6514,1005,3.2419
0.6557,1005,3.2419
0.6601,0,0.0000
0.6644,164,0.5290
0.6687,1005,3.2419
0.6731,1005,3.2419
0.6774,587,1.8935
0.6817,0,0.0000
0.6861,1006,3.2452
0.6904,1005,3.2419
0.6947,1004,3.2387
0.6991,0,0.0000
0.7035,0,0.0000
0.7079,1006,3.2452
0.7122,1005,3.2419
0.7166,919,2.9645
0.7210,0,0.0000
0.7254,645,2.0806
0.7298,1007,3.2484
0.7342,1004,3.2387
0.7386,0,0.0000
0.7430,0,0.0000
0.7474,1005,3.2419
0.7518,1006,3.2452
0.7563,999,3.2226
0.7606,0,0.0000
0.7650,498,1.6065
0.7693,1004,3.2387
0.7737,1006,3.2452
0.7780,103,0.3323
0.7824,0,0.0000
0.7867,1005,3.2419
0.7910,1005,3.2419
0.7954,1005,3.2419
0.7997,0,0.0000
0.8040,148,0.4774
0.8083,1006,3.2452
0.8127,1006,3.2452
0.8170,748,2.4129
0.8214,0,0.0000
0.8258,1005,3.2419
0.8301,1004,3.2387
0.8345,1006,3.2452
0.8388,0,0.0000
0.8432,0,0.0000
0.8476,1004,3.2387
0.8519,1004,3.2387
0.8563,988,3.1871
0.8606,0,0.0000
0.8650,581,1.8742
0.8693,1006,3.2452
0.8737,1006,3.2452
0.8782,0,0.0000
0.8825,0,0.0000
0.8868,1005,3.2419
0.8911,1006,3.2452
0.8954,1005,3.2419
0.8998,0,0.0000
0.9041,72,0.2323
0.9084,1007,3.2484
0.9127,1006,3.2452
0.9170,594,1.9161
0.9213,0,0.0000
0.9257,978,3.1548
0.9300,1007,3.2484
0.9343,1006,3.2452
0.9386,0,0.0000
0.9429,0,0.0000
0.9472,1005,3.2419
0.9515,1005,3.2419
0.9558,1003,3.2355
0.9602,0,0.0000
0.9645,295,0.9516
0.9688,1003,3.2355
0.9731,1006,3.2452
0.9774,379,1.2226
0.9817,0,0.0000
0.9861,1007,3.2484
0.9904,1007,3.2484
0.9947,1005,3.2419
0.9989,0,0.0000
1.0032,55,0.1774
1.0075,1007,3.2484
1.0119,1006,3.2452
1.0162,1000,3.2258
1.0205,0,0.0000
1.0247,962,3.1032
1.0290,1007,3.2484
1.0333,1005,3.2419
1.0376,399,1.2871
1.0419,0,0.0000
1.0462,1006,3.2452
1.0505,1006,3.2452
1.0548,1007,3.2484
1.0591,0,0.0000
1.0635,0,0.0000
1.0678,1004,3.2387
1.0721,1007,3.2484
1.0763,897,2.8935
1.0806,0,0.0000
1.0849,691,2.2290
1.0892,1004,3.2387
1.0935,1007,3.2484
1.0978,26,0.0839
1.1021,0,0.0000
1.1064,1005,3.2419
1.1107,1005,3.2419
1.1150,1006,3.2452
1.1193,0,0.0000
1.1236,18,0.0581
1.1278,1005,3.2419
1.1321,1006,3.2452
1.1364,828,2.6710
1.1407,0,0.0000
1.1450,686,2.2129
1.1493,1005,3.2419
1.1536,1005,3.2419
1.1579,0,0.0000
1.1622,0,0.0000
1.1665,1006,3.2452
1.1708,1005,3.2419
1.1751,1004,3.2387
1.1794,0,0.0000
1.1837,51,0.1645
1.1880,1007,3.2484
1.1923,1005,3.2419
1.1967,625,2.0161
1.2010,0,0.0000
1.2054,953,3.0742
1.2097,1007,3.2484
1.2140,1004,3.2387
1.2183,0,0.0000
1.2226,0,0.0000
1.2269,1004,3.2387
1.2312,1002,3.2323
1.2355,1005,3.2419
1.2398,0,0.0000
1.2441,1004,3.2387
1.2484,1006,3.2452
1.2527,1005,3.2419
1.2570,865,2.7903
1.2613,0,0.0000
1.2656,1004,3.2387
1.2699,1005,3.2419
1.2743,1007,3.2484
1.2787,0,0.0000
1.2830,0,0.0000
1.2873,1005,3.2419
1.2917,1007,3.2484
1.2960,966,3.1161
1.3003,0,0.0000
1.3046,569,1.8355
1.3090,1005,3.2419
1.3133,1004,3.2387
1.3176,22,0.0710
1.3219,0,0.0000
1.3262,1004,3.2387
1.3305,1006,3.2452
1.3349,1004,3.2387
1.3392,0,0.0000
1.3435,69,0.2226
1.3478,1004,3.2387
1.3521,1004,3.2387
1.3565,800,2.5806
1.3608,0,0.0000
1.3650,832,2.6839
1.3693,1004,3.2387
1.3737,1006,3.2452
1.3780,0,0.0000
1.3822,0,0.0000
1.3865,1007,3.2484
1.3909,1006,3.2452
1.3952,1006,3.2452
1.3995,0,0.0000
1.4038,366,1.1806
1.4081,1006,3.2452
1.4124,1006,3.2452
1.4167,622,2.0065
1.4210,0,0.0000
1.4253,1006,3.2452
1.4297,1005,3.2419
1.4340,1006,3.2452
1.4383,0,0.0000
1.4426,0,0.0000
1.4469,1007,3.2484
1.4512,1004,3.2387
1.4555,1002,3.2323
1.4598,0,0.0000
1.4641,447,1.4419
1.4684,1004,3.2387
1.4728,1004,3.2387
1.4771,335,1.0806
1.4814,0,0.0000
1.4858,1005,3.2419
1.4901,1006,3.2452
1.4944,1005,3.2419
1.4987,0,0.0000
1.5030,0,0.0000
1.5073,1004,3.2387
1.5116,1007,3.2484
1.5160,877,2.8290
1.5202,0,0.0000
1.5246,610,1.9677
1.5288,1007,3.2484
1.5332,1007,3.2484
1.5375,0,0.0000
1.5418,0,0.0000
1.5461,1004,3.2387
1.5504,1004,3.2387
1.5547,1004,3.2387
1.5590,0,0.0000
1.5632,0,0.0000
1.5676,1007,3.2484
1.5719,1005,3.2419
1.5762,805,2.5968
1.5805,0,0.0000
1.5849,1004,3.2387
1.5892,1004,3.2387
1.5935,1004,3.2387
1.5978,0,0.0000
1.6021,0,0.0000
1.6065,1006,3.2452
1.6108,1004,3.2387
1.6151,1005,3.2419
1.6194,0,0.0000
1.6237,331,1.0677
1.6280,1005,3.2419
1.6323,1004,3.2387
1.6366,512,1.6516
1.6409,0,0.0000
1.6452,1004,3.2387
1.6495,1005,3.2419
1.6537,1005,3.2419
1.6580,0,0.0000
1.6623,0,0.0000
1.6667,1006,3.2452
1.6710,1006,3.2452
1.6753,1003,3.2355
1.6796,0,0.0000
1.6839,602,1.9419
1.6882,1004,3.2387
1.6925,1006,3.2452
1.6968,486,1.5677
1.7011,0,0.0000
1.7054,1006,3.2452
1.7097,1005,3.2419
1.7141,1007,3.2484
1.7184,0,0.0000
1.7227,30,0.0968
1.7271,1007,3.2484
1.7314,1006,3.2452
1.7357,996,3.2129
1.7399,0,0.0000
1.7443,763,2.4613
1.7486,1007,3.2484
1.7529,1004,3.2387
1.7572,239,0.7710
1.7615,0,0.0000
1.7657,1004,3.2387
1.7700,1004,3.2387
1.7746,1006,3.2452
1.7789,0,0.0000
1.7833,617,1.9903
1.7876,1004,3.2387
1.7919,1006,3.2452
1.7962,943,3.0419
1.8005,0,0.0000
1.8048,1003,3.2355
1.8090,1007,3.2484
1.8134,1006,3.2452
1.8177,0,0.0000
1.8220,0,0.0000
1.8263,1006,3.2452
1.8307,1006,3.2452
1.8351,1006,3.2452
1.8393,0,0.0000
1.8436,359,1.1581
1.8479,1007,3.2484
1.8522,1006,3.2452
1.8565,592,1.9097
1.8608,0,0.0000
1.8651,1005,3.2419
1.8697,1007,3.2484
1.8740,1006,3.2452
1.8783,0,0.0000
1.8826,0,0.0000
1.8870,1005,3.2419
1.8913,1006,3.2452
1.8956,881,2.8419
1.8999,0,0.0000
1.9042,834,2.6903
1.9085,1007,3.2484
1.9128,1005,3.2419
1.9173,0,0.0000
1.9216,0,0.0000
1.9259,1006,3.2452
1.9302,1006,3.2452
1.9345,1005,3.2419
1.9388,0,0.0000
1.9431,107,0.3452
1.9474,1005,3.2419
1.9517,1007,3.2484
1.9560,724,2.3355
1.9603,0,0.0000
1.9646,1005,3.2419
1.9689,1006,3.2452
1.9733,1006,3.2452
1.9776,0,0.0000
1.9819,0,0.0000
1.9862,1005,3.2419
1.9905,1003,3.2355
1.9948,1005,3.2419
1.9991,0,0.0000
2.0035,400,1.2903
2.0078,1000,3.2258
2.0121,1004,3.2387
2.0164,449,1.4484
2.0207,0,0.0000
2.0250,1006,3.2452
2.0293,1006,3.2452
2.0336,1006,3.2452
2.0379,0,0.0000
2.0422,0,0.0000
2.0465,1006,3.2452
2.0508,1005,3.2419
2.0552,1003,3.2355
2.0594,0,0.0000
2.0638,812,2.6194
2.0681,1006,3.2452
2.0724,1006,3.2452
2.0767,478,1.5419
2.0810,0,0.0000
2.0853,1004,3.2387
2.0896,1004,3.2387
2.0939,1006,3.2452
